event_id,event_date,event_name,event_tier,primary_test_eligible,event_type,policy_subtype,country_or_region,sector,geopolitical_competition_link,strategic_importance,state_support,state_support_type,support_directness,support_credibility,threat_signal,opportunity_signal,substitution_reallocation,anticipation_level,beneficiary_visibility,support_materiality,event_date_confidence,confound_flag_event,source_url,coding_notes
E001,2022-08-09,CHIPS and Science Act signed,secondary,0,broad_policy,legislation,US,semiconductors,3,3,3,subsidy;tax_credit;industrial_policy,2,3,1,3,3,3,medium,high,high,0,https://www.whitehouse.gov/briefing-room/speeches-remarks/2022/08/09/remarks-by-president-biden-at-signing-of-h-r-4346-the-chips-and-science-act-of-2022/,Broad enacted support; highly anticipated; use as secondary context only.
E002,2022-08-31,Nvidia discloses AI chip export-license requirement,contrast,0,threat_contrast,export_control,US,AI chips,3,3,0,none,0,0,3,1,1,2,high,none,medium,0,https://www.sec.gov/ixviewer/doc/action=getcompany&cik=1045810&type=8-K&dateb=20220901,Firm disclosure of policy restriction; contrast case only.
E003,2022-10-07,BIS advanced computing and semiconductor controls,contrast,0,threat_contrast,export_control,US,semiconductors,3,3,0,none,0,0,3,2,3,2,medium,none,high,0,https://www.bis.gov/press-release/commerce-implements-new-export-controls-advanced-computing-and-semiconductor-manufacturing,Major export-control contrast; broad and heterogeneous effects.
E004,2022-12-15,YMTC and other Chinese entities added to Entity List,contrast,0,threat_contrast,entity_list,US,memory chips,3,3,0,none,0,0,3,2,2,2,medium,none,high,0,https://www.bis.gov/press-release/commerce-adds-yangtze-memory-technologies-ymtc-and-35-other-entities-entity-list,Restriction/substitution contrast; substitution links should be treated cautiously.
E005,2023-03-31,Japan announces semiconductor-equipment export controls,contrast,0,threat_contrast,export_control,Japan,semiconductor equipment,3,3,0,none,0,0,3,1,2,2,medium,none,high,0,https://www.meti.go.jp/english/press/2023/0331_001.html,Allied restriction contrast; foreign timing issues possible.
E006,2023-05-21,China restricts Micron procurement,contrast,0,threat_contrast,retaliation,China,memory chips,3,3,0,none,0,0,3,2,1,2,high,none,high,0,https://www.cac.gov.cn/2023-05/21/c_1686348043518073.htm,Retaliation contrast; MU is clean threat-exposed asset; substitutes conditional.
E007,2023-12-11,BAE receives first CHIPS Act manufacturing award,secondary,0,support,subsidy_award,US,defense semiconductors,3,3,3,subsidy;industrial_policy,3,3,0,3,2,1,high,low,high,0,https://www.commerce.gov/news/press-releases/2023/12/biden-harris-administration-announces-first-chips-commercial-fabrication,Direct named support but likely low market relevance relative to firm size.
E008,2024-02-24,TSMC Kumamoto fab opens with Japanese state support,secondary,0,support,fab_investment,Japan/Taiwan,foundry,3,3,3,subsidy;industrial_policy;capacity_support,2,3,0,2,3,3,high,medium,medium,0,https://www.tsmc.com/english/news/3107,Implementation/reallocation case; opening may not be true information event.
E009,2024-03-20,Intel CHIPS Act preliminary terms announced,main,1,support,subsidy_award,US,semiconductors,3,3,3,subsidy;loan;industrial_policy,3,3,0,3,3,2,high,high,high,0,https://www.commerce.gov/news/press-releases/2024/03/biden-harris-administration-announces-preliminary-terms-intel-support,Main event; named beneficiary INTC; support-as-weakness rival interpretation must be noted.
E010,2024-04-08,TSMC Arizona CHIPS Act preliminary terms announced,main,1,support,subsidy_award,US/Taiwan,foundry,3,3,3,subsidy;industrial_policy;capacity_support,3,3,1,3,3,2,high,high,high,0,https://www.commerce.gov/news/press-releases/2024/04/biden-harris-administration-announces-preliminary-terms-tsmc-expanded,Main event; named beneficiary TSM; support may offset high US fab costs.
E011,2024-04-15,Samsung CHIPS Act preliminary terms announced,main_conditional,0,support,subsidy_award,US/South Korea,semiconductors,3,3,3,subsidy;industrial_policy;capacity_support,3,3,0,3,3,2,conditional,high,high,0,https://www.commerce.gov/news/press-releases/2024/04/biden-harris-administration-announces-preliminary-terms-samsung,Conditional main event; depends on replicable Samsung trading-calendar implementation.
E012,2024-04-25,Micron CHIPS Act preliminary agreement announced,main,1,support,subsidy_award,US,memory chips,3,3,3,subsidy;industrial_policy;capacity_support,3,3,0,3,3,2,high,high,high,0,https://www.whitehouse.gov/briefing-room/statements-releases/2024/04/25/fact-sheet-president-biden-announces-up-to-6-1-billion-preliminary-agreement-with-micron-under-the-chips-and-science-act/,Main event; named beneficiary MU; memory-cycle confounding must be considered.
