source_id,source_name,source_type,coverage_region,coverage_sector,reliability_level,update_frequency,notes
SRC001,Government policy releases,Official government source,US; allied markets; China,Semiconductors; strategic technology; industrial policy,High,Weekly review,"Use for policy announcements, export controls, sanctions, subsidy awards, and official implementation updates."
SRC002,Export-control agency notices,Official regulatory source,US; Japan; Netherlands; allied markets,Semiconductors; AI chips; semiconductor equipment,High,Weekly review,"Priority source class for restriction and technology-control signals; requires human review before event coding."
SRC003,Legislative records and committee materials,Official legislative source,US; EU; Taiwan; Japan,Industrial policy; strategic investment; supply-chain policy,High,Monthly review,"Useful for policy formation and support signals; not every hearing or bill qualifies as an event."
SRC004,Company investor-relations releases,Corporate primary source,Global listed firms,Semiconductors; foundry; memory; equipment; AI chips,Medium-High,Weekly review,"Useful for firm-specific disclosure, capex, relocation, award, and restriction exposure signals; corroborate with official or reputable reporting where possible."
SRC005,Stock-exchange filings and disclosures,Regulatory filing source,US; Taiwan; Japan; South Korea; EU,Public companies in strategic sectors,High,Weekly review,"Useful for material disclosures; timing and market-window coding require care."
SRC006,Reputable international financial press,News source,Global,Semiconductors; geopolitical risk; supply chains,Medium,Daily scan,"Useful for event discovery and context; should not replace primary-source verification."
SRC007,Specialised semiconductor trade press,Industry news source,Global semiconductor supply chain,Semiconductors; equipment; foundry; memory; AI chips,Medium,Weekly review,"Useful for sector context and early event discovery; verify major claims before dataset integration."
SRC008,Think-tank and research-institute reports,Analytical source,US; China; Taiwan; Indo-Pacific; EU,Geopolitical risk; industrial policy; defence technology,Medium,Monthly review,"Useful for background and interpretation; usually not sufficient as a standalone source for event inclusion."
SRC009,Defence and military affairs briefings,Official or expert source,Taiwan Strait; Indo-Pacific; US; China,Military activity; strategic risk,Medium-High,Weekly review,"Useful for military activity monitoring; distinguish routine activity from event-level shocks."
SRC010,Sanctions and entity-list databases,Official sanctions source,US; EU; allied markets; China,Strategic technology; restricted entities,High,Weekly review,"Use for sanctions, entity-list, and procurement-restriction events; preserve source date and effective date."
